vehicle_id,timestamp_lend,lng_lend,lat_lend,timestamp_returned,lng_returned,lat_returned,current_range_meters_lend,pedelec_battery_lend,pedelec_battery_returned,current_range_meters_returned
2667,2024-03-05 00:00:00+00:00,8.7061,49.4107,2024-03-05 00:15:00+00:00,8.6926,49.4019,24000,59,54,21000
9097,2024-03-05 00:00:00+00:00,8.6751,49.4031,2024-03-05 00:12:00+00:00,8.6712,49.3813,4000,22,16,1000
9097,2024-03-05 00:12:00+00:00,8.6712,49.3813,2024-03-05 09:36:00+00:00,8.6711,49.3812,1000,16,98,45000
4919,2024-03-05 00:24:00+00:00,8.6804,49.3842,2024-03-05 09:12:00+00:00,8.6804,49.3843,1000,16,100,46000
11832,2024-03-05 00:27:00+00:00,8.7102,49.4114,2024-03-05 01:00:00+00:00,8.6484,49.4188,31000,72,56,22000
10122,2024-03-05 00:30:00+00:00,8.7105,49.4114,2024-03-05 01:00:00+00:00,8.6484,49.4184,40000,88,74,32000
8187,2024-03-05 00:42:00+00:00,8.6679,49.4039,2024-03-05 00:57:00+00:00,8.6446,49.3988,40000,88,78,34000
1432,2024-03-05 00:45:00+00:00,8.6779,49.4041,2024-03-05 01:30:00+00:00,8.7134,49.4159,39000,87,56,22000
5066,2024-03-05 00:45:00+00:00,8.6806,49.4022,2024-03-05 00:57:00+00:00,8.706,49.4106,31000,71,68,29000
5462,2024-03-05 00:51:00+00:00,8.6789,49.4178,2024-03-05 01:15:00+00:00,8.6906,49.416,15000,42,27,7000
2889,2024-03-05 00:51:00+00:00,8.6848,49.408,2024-03-05 01:06:00+00:00,8.6883,49.3991,31000,71,67,28000
152,2024-03-05 01:15:00+00:00,8.7082,49.4069,2024-03-05 01:21:00+00:00,8.7086,49.4072,5000,24,24,5000
4134,2024-03-05 01:21:00+00:00,8.6623,49.3897,2024-03-05 09:51:00+00:00,8.6613,49.3895,1000,16,100,46000
7869,2024-03-05 01:33:00+00:00,8.6842,49.4233,2024-03-06 13:54:00+00:00,8.6798,49.3783,1000,16,93,42000
11016,2024-03-05 01:54:00+00:00,8.6861,49.3824,2024-03-05 02:24:00+00:00,8.6755,49.4202,44000,96,88,40000
11586,2024-03-05 02:09:00+00:00,8.6923,49.4052,2024-03-05 11:09:00+00:00,8.6923,49.4052,1000,16,100,46000
